Generation	Average Fitness	Best Fitness (this generation)	Best Fitness (all)	Neighbours	Intersections	
0	0,076131	0,357143	0,357143	10	1	
1	0,090299	0,357143	0,357143	10	1	
2	0,105177	0,444444	0,444444	8	0	
3	0,121109	0,500000	0,500000	9	0	
4	0,138545	0,500000	0,500000	9	0	
5	0,157728	0,555556	0,555556	10	0	
6	0,178467	0,555556	0,555556	10	0	
7	0,200702	0,555556	0,555556	10	0	
8	0,223584	0,611111	0,611111	11	0	
9	0,247236	0,666667	0,666667	12	0	
10	0,270627	0,722222	0,722222	13	0	
11	0,292695	0,722222	0,722222	13	0	
12	0,314456	0,722222	0,722222	13	0	
13	0,335541	0,722222	0,722222	13	0	
14	0,355916	0,833333	0,833333	15	0	
15	0,376027	0,833333	0,833333	15	0	
16	0,395518	0,833333	0,833333	15	0	
17	0,412351	0,833333	0,833333	15	0	
18	0,428160	0,833333	0,833333	15	0	
19	0,443028	0,833333	0,833333	15	0	
20	0,455773	0,944444	0,944444	17	0	
21	0,468113	0,944444	0,944444	17	0	
22	0,478660	0,944444	0,944444	17	0	
23	0,489581	0,944444	0,944444	17	0	
24	0,499885	0,944444	0,944444	17	0	
25	0,509325	0,944444	0,944444	17	0	
26	0,519986	0,944444	0,944444	17	0	
27	0,529941	0,944444	0,944444	17	0	
28	0,542033	0,944444	0,944444	17	0	
29	0,553652	0,944444	0,944444	17	0	
30	0,566205	0,944444	0,944444	17	0	
31	0,580176	0,944444	0,944444	17	0	
32	0,593906	0,944444	0,944444	17	0	
33	0,609739	0,944444	0,944444	17	0	
34	0,625856	1,000000	1,000000	18	0	
35	0,641628	0,944444	1,000000	17	0	
36	0,658388	1,000000	1,000000	18	0	
37	0,673685	1,000000	1,000000	18	0	
38	0,689207	1,000000	1,000000	18	0	
39	0,704451	1,000000	1,000000	18	0	
40	0,718967	1,000000	1,000000	18	0	
41	0,733541	1,000000	1,000000	18	0	
42	0,746625	1,000000	1,000000	18	0	
43	0,758064	1,000000	1,000000	18	0	
44	0,768304	1,000000	1,000000	18	0	
45	0,778527	1,000000	1,000000	18	0	
46	0,788763	1,000000	1,000000	18	0	
47	0,798310	1,000000	1,000000	18	0	
48	0,806766	1,000000	1,000000	18	0	
49	0,815012	1,000000	1,000000	18	0	
50	0,822169	1,055556	1,055556	19	0	
51	0,828800	1,000000	1,055556	18	0	
52	0,835054	1,000000	1,055556	18	0	
53	0,841227	1,000000	1,055556	18	0	
54	0,846330	1,000000	1,055556	18	0	
55	0,851715	1,000000	1,055556	18	0	
56	0,856019	1,000000	1,055556	18	0	
57	0,861327	1,000000	1,055556	18	0	
58	0,865667	1,000000	1,055556	18	0	
59	0,869593	1,000000	1,055556	18	0	
60	0,872838	1,000000	1,055556	18	0	
61	0,877533	1,000000	1,055556	18	0	
62	0,880446	1,055556	1,055556	19	0	
63	0,883798	1,055556	1,055556	19	0	
64	0,886694	1,000000	1,055556	18	0	
65	0,890262	1,000000	1,055556	18	0	
66	0,892524	1,000000	1,055556	18	0	
67	0,895058	1,000000	1,055556	18	0	
68	0,896769	1,000000	1,055556	18	0	
69	0,897867	1,000000	1,055556	18	0	
70	0,900506	1,000000	1,055556	18	0	
71	0,902410	1,000000	1,055556	18	0	
72	0,905049	1,000000	1,055556	18	0	
73	0,905657	1,055556	1,055556	19	0	
74	0,907362	1,055556	1,055556	19	0	
75	0,907323	1,055556	1,055556	19	0	
76	0,907921	1,055556	1,055556	19	0	
77	0,909620	1,055556	1,055556	19	0	
78	0,910522	1,055556	1,055556	19	0	
79	0,911604	1,055556	1,055556	19	0	
80	0,912032	1,055556	1,055556	19	0	
81	0,913163	1,055556	1,055556	19	0	
82	0,913479	1,055556	1,055556	19	0	
83	0,913910	1,055556	1,055556	19	0	
84	0,914782	1,055556	1,055556	19	0	
85	0,914465	1,055556	1,055556	19	0	
86	0,914976	1,055556	1,055556	19	0	
87	0,915856	1,055556	1,055556	19	0	
88	0,915737	1,055556	1,055556	19	0	
89	0,916530	1,055556	1,055556	19	0	
90	0,917001	1,055556	1,055556	19	0	
91	0,917221	1,055556	1,055556	19	0	
92	0,917032	1,111111	1,111111	20	0	
93	0,917203	1,055556	1,111111	19	0	
94	0,917037	1,055556	1,111111	19	0	
95	0,917596	1,055556	1,111111	19	0	
96	0,916942	1,111111	1,111111	20	0	
97	0,917269	1,111111	1,111111	20	0	
98	0,917257	1,055556	1,111111	19	0	
99	0,917519	1,111111	1,111111	20	0	
100	0,918384	1,111111	1,111111	20	0	
101	0,918337	1,055556	1,111111	19	0	
102	0,918755	1,055556	1,111111	19	0	
103	0,918594	1,055556	1,111111	19	0	
104	0,918994	1,055556	1,111111	19	0	
105	0,919534	1,111111	1,111111	20	0	
106	0,920105	1,111111	1,111111	20	0	
107	0,919591	1,055556	1,111111	19	0	
108	0,919314	1,055556	1,111111	19	0	
109	0,919692	1,055556	1,111111	19	0	
110	0,920043	1,111111	1,111111	20	0	
111	0,920010	1,111111	1,111111	20	0	
112	0,920865	1,111111	1,111111	20	0	
113	0,921598	1,111111	1,111111	20	0	
114	0,921117	1,111111	1,111111	20	0	
115	0,921716	1,111111	1,111111	20	0	
116	0,921219	1,111111	1,111111	20	0	
117	0,921192	1,111111	1,111111	20	0	
118	0,920899	1,111111	1,111111	20	0	
119	0,921421	1,111111	1,111111	20	0	
120	0,922098	1,111111	1,111111	20	0	
121	0,921654	1,111111	1,111111	20	0	
122	0,922044	1,111111	1,111111	20	0	
123	0,923196	1,111111	1,111111	20	0	
124	0,924535	1,111111	1,111111	20	0	
125	0,924293	1,111111	1,111111	20	0	
126	0,923631	1,111111	1,111111	20	0	
127	0,924137	1,111111	1,111111	20	0	
128	0,924821	1,111111	1,111111	20	0	
129	0,924848	1,111111	1,111111	20	0	
130	0,925305	1,111111	1,111111	20	0	
131	0,925321	1,111111	1,111111	20	0	
132	0,926060	1,111111	1,111111	20	0	
133	0,926368	1,111111	1,111111	20	0	
134	0,926098	1,111111	1,111111	20	0	
135	0,927105	1,111111	1,111111	20	0	
136	0,925725	1,111111	1,111111	20	0	
137	0,927434	1,111111	1,111111	20	0	
138	0,928213	1,111111	1,111111	20	0	
139	0,928275	1,111111	1,111111	20	0	
140	0,929472	1,111111	1,111111	20	0	
141	0,930775	1,111111	1,111111	20	0	
142	0,929832	1,111111	1,111111	20	0	
143	0,931202	1,111111	1,111111	20	0	
144	0,931145	1,111111	1,111111	20	0	
145	0,932034	1,111111	1,111111	20	0	
146	0,932807	1,111111	1,111111	20	0	
147	0,933528	1,111111	1,111111	20	0	
148	0,934047	1,111111	1,111111	20	0	
149	0,934982	1,111111	1,111111	20	0	
150	0,936304	1,111111	1,111111	20	0	
151	0,936442	1,111111	1,111111	20	0	
152	0,936935	1,111111	1,111111	20	0	
153	0,938129	1,111111	1,111111	20	0	
154	0,938947	1,111111	1,111111	20	0	
155	0,940435	1,111111	1,111111	20	0	
156	0,941982	1,111111	1,111111	20	0	
157	0,943446	1,111111	1,111111	20	0	
158	0,944136	1,111111	1,111111	20	0	
159	0,945623	1,111111	1,111111	20	0	
160	0,946973	1,111111	1,111111	20	0	
161	0,948383	1,111111	1,111111	20	0	
162	0,949051	1,111111	1,111111	20	0	
163	0,950524	1,111111	1,111111	20	0	
164	0,951961	1,111111	1,111111	20	0	
165	0,953958	1,111111	1,111111	20	0	
166	0,956696	1,111111	1,111111	20	0	
167	0,957535	1,111111	1,111111	20	0	
168	0,958278	1,111111	1,111111	20	0	
169	0,960414	1,111111	1,111111	20	0	
170	0,960630	1,111111	1,111111	20	0	
171	0,964177	1,111111	1,111111	20	0	
172	0,967295	1,111111	1,111111	20	0	
173	0,968174	1,111111	1,111111	20	0	
174	0,971823	1,111111	1,111111	20	0	
175	0,973726	1,111111	1,111111	20	0	
176	0,976405	1,111111	1,111111	20	0	
177	0,980065	1,111111	1,111111	20	0	
178	0,983093	1,111111	1,111111	20	0	
179	0,984614	1,111111	1,111111	20	0	
