Generation	Average Fitness	Best Fitness (this generation)	Best Fitness (all)	Neighbours	Intersections	
0	0,106878	0,178571	0,178571	5	2	
1	0,127030	0,178571	0,178571	5	2	
2	0,131741	0,178571	0,178571	5	2	
3	0,112906	0,115789	0,178571	11	7	
4	0,114588	0,115789	0,178571	11	7	
5	0,114471	0,121212	0,178571	8	6	
6	0,116874	0,121212	0,178571	8	6	
7	0,115789	0,115789	0,178571	11	7	
8	0,115789	0,115789	0,178571	11	7	
9	0,112339	0,132075	0,178571	7	5	
10	0,115789	0,115789	0,178571	11	7	
11	0,115789	0,115789	0,178571	11	7	
12	0,110711	0,115789	0,178571	11	7	
13	0,110711	0,115789	0,178571	11	7	
14	0,115789	0,115789	0,178571	11	7	
15	0,115789	0,115789	0,178571	11	7	
16	0,115789	0,115789	0,178571	11	7	
17	0,115789	0,115789	0,178571	11	7	
18	0,125839	0,200000	0,200000	6	2	
19	0,122640	0,200000	0,200000	6	2	
20	0,132982	0,166667	0,200000	9	4	
21	0,149954	0,166667	0,200000	9	4	
22	0,148579	0,166667	0,200000	9	4	
23	0,147944	0,166667	0,200000	9	4	
24	0,155856	0,166667	0,200000	9	4	
25	0,165217	0,166667	0,200000	9	4	
26	0,165217	0,166667	0,200000	9	4	
27	0,163768	0,166667	0,200000	9	4	
28	0,162836	0,166667	0,200000	9	4	
29	0,162836	0,166667	0,200000	9	4	
30	0,152879	0,166667	0,200000	9	4	
31	0,150498	0,166667	0,200000	9	4	
32	0,161905	0,166667	0,200000	9	4	
33	0,159524	0,166667	0,200000	9	4	
34	0,159524	0,166667	0,200000	9	4	
35	0,161905	0,166667	0,200000	9	4	
36	0,164286	0,166667	0,200000	9	4	
37	0,159524	0,166667	0,200000	9	4	
38	0,162857	0,200000	0,200000	6	2	
39	0,165238	0,200000	0,200000	6	2	
40	0,164286	0,166667	0,200000	9	4	
41	0,161364	0,166667	0,200000	9	4	
42	0,161579	0,166667	0,200000	9	4	
43	0,149479	0,166667	0,200000	9	4	
44	0,150669	0,178571	0,200000	5	2	
45	0,137101	0,178571	0,200000	5	2	
46	0,161571	0,178571	0,200000	5	2	
47	0,136762	0,178571	0,200000	5	2	
48	0,163952	0,178571	0,200000	5	2	
49	0,168783	0,190476	0,200000	8	3	
50	0,170936	0,178571	0,200000	5	2	
51	0,172294	0,178571	0,200000	5	2	
52	0,167793	0,178571	0,200000	5	2	
53	0,175000	0,178571	0,200000	5	2	
54	0,176190	0,178571	0,200000	5	2	
55	0,172078	0,178571	0,200000	5	2	
56	0,175866	0,178571	0,200000	5	2	
57	0,173160	0,178571	0,200000	5	2	
58	0,170455	0,178571	0,200000	5	2	
59	0,170455	0,178571	0,200000	5	2	
60	0,173226	0,178571	0,200000	5	2	
61	0,167534	0,178571	0,200000	5	2	
62	0,170174	0,178571	0,200000	5	2	
63	0,178571	0,178571	0,200000	5	2	
64	0,168254	0,178571	0,200000	5	2	
65	0,171099	0,200000	0,200000	6	2	
66	0,177143	0,200000	0,200000	6	2	
67	0,178571	0,178571	0,200000	5	2	
68	0,178571	0,178571	0,200000	5	2	
69	0,178571	0,178571	0,200000	5	2	
70	0,180714	0,200000	0,200000	6	2	
71	0,180714	0,200000	0,200000	6	2	
72	0,185000	0,200000	0,200000	6	2	
73	0,181039	0,200000	0,200000	6	2	
74	0,183182	0,200000	0,200000	6	2	
75	0,185000	0,200000	0,200000	6	2	
76	0,187143	0,200000	0,200000	6	2	
77	0,187150	0,200000	0,200000	6	2	
78	0,189670	0,200000	0,200000	6	2	
79	0,186407	0,200000	0,200000	6	2	
80	0,184621	0,200000	0,200000	6	2	
81	0,192121	0,200000	0,200000	6	2	
82	0,192121	0,200000	0,200000	6	2	
83	0,184621	0,200000	0,200000	6	2	
84	0,184621	0,200000	0,200000	6	2	
85	0,184942	0,200000	0,200000	6	2	
86	0,191111	0,200000	0,200000	6	2	
87	0,200000	0,200000	0,200000	6	2	
88	0,191667	0,200000	0,200000	6	2	
89	0,191667	0,200000	0,200000	6	2	
90	0,189615	0,200000	0,200000	6	2	
91	0,189615	0,200000	0,200000	6	2	
92	0,191667	0,200000	0,200000	6	2	
93	0,191667	0,200000	0,200000	6	2	
94	0,178745	0,200000	0,200000	6	2	
95	0,200000	0,200000	0,200000	6	2	
96	0,200000	0,200000	0,200000	6	2	
97	0,194706	0,200000	0,200000	6	2	
98	0,195385	0,200000	0,200000	6	2	
99	0,190769	0,200000	0,200000	6	2	
