Generation	Average Fitness	Best Fitness (this generation)	Best Fitness (all)	Neighbours	Intersections	
0	0,097609	0,333333	0,333333	6	0	
1	0,110874	0,333333	0,333333	6	0	
2	0,122349	0,388889	0,388889	7	0	
3	0,132250	0,388889	0,388889	7	0	
4	0,141131	0,388889	0,388889	7	0	
5	0,149906	0,388889	0,388889	7	0	
6	0,159028	0,388889	0,388889	7	0	
7	0,168872	0,444444	0,444444	8	0	
8	0,179577	0,444444	0,444444	8	0	
9	0,191454	0,444444	0,444444	8	0	
10	0,204200	0,444444	0,444444	8	0	
11	0,217894	0,444444	0,444444	8	0	
12	0,231327	0,444444	0,444444	8	0	
13	0,244232	0,444444	0,444444	8	0	
14	0,256132	0,444444	0,444444	8	0	
15	0,266532	0,444444	0,444444	8	0	
16	0,275704	0,444444	0,444444	8	0	
17	0,283718	0,444444	0,444444	8	0	
18	0,290706	0,500000	0,500000	9	0	
19	0,296938	0,500000	0,500000	9	0	
20	0,302216	0,444444	0,500000	8	0	
21	0,306840	0,500000	0,500000	9	0	
22	0,312176	0,500000	0,500000	9	0	
23	0,316462	0,500000	0,500000	9	0	
24	0,321196	0,500000	0,500000	9	0	
25	0,326331	0,500000	0,500000	9	0	
26	0,331646	0,500000	0,500000	9	0	
27	0,337336	0,500000	0,500000	9	0	
28	0,342528	0,500000	0,500000	9	0	
29	0,348351	0,500000	0,500000	9	0	
30	0,354796	0,500000	0,500000	9	0	
31	0,360699	0,500000	0,500000	9	0	
32	0,365259	0,500000	0,500000	9	0	
33	0,371686	0,500000	0,500000	9	0	
34	0,377393	0,500000	0,500000	9	0	
35	0,382166	0,500000	0,500000	9	0	
36	0,386324	0,500000	0,500000	9	0	
37	0,391209	0,500000	0,500000	9	0	
38	0,395642	0,500000	0,500000	9	0	
39	0,399792	0,500000	0,500000	9	0	
40	0,403137	0,500000	0,500000	9	0	
41	0,405562	0,500000	0,500000	9	0	
42	0,407778	0,500000	0,500000	9	0	
43	0,410670	0,500000	0,500000	9	0	
44	0,413210	0,500000	0,500000	9	0	
45	0,414438	0,500000	0,500000	9	0	
46	0,416206	0,500000	0,500000	9	0	
47	0,416917	0,500000	0,500000	9	0	
48	0,417855	0,500000	0,500000	9	0	
49	0,419095	0,500000	0,500000	9	0	
50	0,420030	0,500000	0,500000	9	0	
51	0,421129	0,500000	0,500000	9	0	
52	0,422078	0,500000	0,500000	9	0	
53	0,422405	0,500000	0,500000	9	0	
54	0,422760	0,500000	0,500000	9	0	
55	0,423517	0,500000	0,500000	9	0	
56	0,424788	0,500000	0,500000	9	0	
57	0,424657	0,500000	0,500000	9	0	
58	0,424610	0,500000	0,500000	9	0	
59	0,425159	0,500000	0,500000	9	0	
60	0,425600	0,500000	0,500000	9	0	
61	0,425531	0,500000	0,500000	9	0	
62	0,425740	0,500000	0,500000	9	0	
63	0,426216	0,500000	0,500000	9	0	
64	0,426953	0,500000	0,500000	9	0	
65	0,427040	0,500000	0,500000	9	0	
66	0,426914	0,500000	0,500000	9	0	
67	0,427039	0,500000	0,500000	9	0	
68	0,427215	0,500000	0,500000	9	0	
69	0,427327	0,500000	0,500000	9	0	
70	0,427426	0,500000	0,500000	9	0	
71	0,427705	0,500000	0,500000	9	0	
72	0,427756	0,500000	0,500000	9	0	
73	0,427984	0,500000	0,500000	9	0	
74	0,427966	0,500000	0,500000	9	0	
75	0,427800	0,500000	0,500000	9	0	
76	0,428225	0,500000	0,500000	9	0	
77	0,428455	0,500000	0,500000	9	0	
78	0,428664	0,500000	0,500000	9	0	
79	0,428491	0,500000	0,500000	9	0	
80	0,428846	0,500000	0,500000	9	0	
81	0,429307	0,500000	0,500000	9	0	
82	0,429245	0,500000	0,500000	9	0	
83	0,429220	0,500000	0,500000	9	0	
84	0,428969	0,500000	0,500000	9	0	
85	0,429116	0,500000	0,500000	9	0	
86	0,429059	0,500000	0,500000	9	0	
87	0,429295	0,500000	0,500000	9	0	
88	0,429410	0,500000	0,500000	9	0	
89	0,429178	0,500000	0,500000	9	0	
90	0,429458	0,500000	0,500000	9	0	
91	0,429105	0,500000	0,500000	9	0	
92	0,429346	0,500000	0,500000	9	0	
93	0,429707	0,500000	0,500000	9	0	
94	0,429884	0,500000	0,500000	9	0	
95	0,430293	0,500000	0,500000	9	0	
96	0,430451	0,500000	0,500000	9	0	
97	0,430948	0,500000	0,500000	9	0	
98	0,430960	0,500000	0,500000	9	0	
99	0,430441	0,500000	0,500000	9	0	
