Generation	Average Fitness	Best Fitness (this generation)	Best Fitness (all)	Neighbours	Intersections	
0	0,076424	0,277778	0,277778	5	0	
1	0,091059	0,277778	0,277778	5	0	
2	0,106950	0,277778	0,277778	5	0	
3	0,123830	0,277778	0,277778	5	0	
4	0,141536	0,333333	0,333333	6	0	
5	0,158668	0,388889	0,388889	7	0	
6	0,175589	0,444444	0,444444	8	0	
7	0,190563	0,444444	0,444444	8	0	
8	0,205266	0,444444	0,444444	8	0	
9	0,216503	0,444444	0,444444	8	0	
10	0,227271	0,444444	0,444444	8	0	
11	0,237425	0,444444	0,444444	8	0	
12	0,245835	0,444444	0,444444	8	0	
13	0,254802	0,611111	0,611111	11	0	
14	0,264114	0,555556	0,611111	10	0	
15	0,274077	0,611111	0,611111	11	0	
16	0,286504	0,555556	0,611111	10	0	
17	0,301433	0,611111	0,611111	11	0	
18	0,318298	0,555556	0,611111	10	0	
19	0,337215	0,611111	0,611111	11	0	
20	0,358030	0,666667	0,666667	12	0	
21	0,377405	0,666667	0,666667	12	0	
22	0,393638	0,666667	0,666667	12	0	
23	0,408445	0,666667	0,666667	12	0	
24	0,421139	0,666667	0,666667	12	0	
25	0,430712	0,666667	0,666667	12	0	
26	0,437242	0,666667	0,666667	12	0	
27	0,443633	0,666667	0,666667	12	0	
28	0,448409	0,666667	0,666667	12	0	
29	0,454215	0,666667	0,666667	12	0	
30	0,459359	0,666667	0,666667	12	0	
31	0,466638	0,666667	0,666667	12	0	
32	0,474299	0,666667	0,666667	12	0	
33	0,482519	0,666667	0,666667	12	0	
34	0,491445	0,666667	0,666667	12	0	
35	0,501823	0,666667	0,666667	12	0	
36	0,512059	0,666667	0,666667	12	0	
37	0,523331	0,666667	0,666667	12	0	
38	0,534577	0,666667	0,666667	12	0	
39	0,544459	0,666667	0,666667	12	0	
40	0,554509	0,666667	0,666667	12	0	
41	0,562433	0,666667	0,666667	12	0	
42	0,571417	0,666667	0,666667	12	0	
43	0,578590	0,666667	0,666667	12	0	
44	0,585862	0,666667	0,666667	12	0	
45	0,592547	0,666667	0,666667	12	0	
46	0,597153	0,722222	0,722222	13	0	
47	0,601642	0,722222	0,722222	13	0	
48	0,605841	0,666667	0,722222	12	0	
49	0,608566	0,722222	0,722222	13	0	
50	0,612845	0,722222	0,722222	13	0	
51	0,616272	0,722222	0,722222	13	0	
52	0,619134	0,722222	0,722222	13	0	
53	0,622554	0,722222	0,722222	13	0	
54	0,624774	0,722222	0,722222	13	0	
55	0,626886	0,722222	0,722222	13	0	
56	0,628705	0,722222	0,722222	13	0	
57	0,632320	0,722222	0,722222	13	0	
58	0,633543	0,722222	0,722222	13	0	
59	0,636602	0,722222	0,722222	13	0	
60	0,638729	0,722222	0,722222	13	0	
61	0,640227	0,722222	0,722222	13	0	
62	0,642015	0,722222	0,722222	13	0	
63	0,644492	0,722222	0,722222	13	0	
64	0,645196	0,722222	0,722222	13	0	
65	0,646884	0,722222	0,722222	13	0	
66	0,648798	0,722222	0,722222	13	0	
67	0,650242	0,722222	0,722222	13	0	
68	0,650380	0,722222	0,722222	13	0	
69	0,651643	0,722222	0,722222	13	0	
70	0,652837	0,722222	0,722222	13	0	
71	0,653862	0,722222	0,722222	13	0	
72	0,655289	0,722222	0,722222	13	0	
73	0,655854	0,722222	0,722222	13	0	
74	0,656431	0,722222	0,722222	13	0	
75	0,657152	0,722222	0,722222	13	0	
76	0,657462	0,722222	0,722222	13	0	
77	0,658480	0,722222	0,722222	13	0	
78	0,659169	0,722222	0,722222	13	0	
79	0,659591	0,722222	0,722222	13	0	
80	0,660114	0,722222	0,722222	13	0	
81	0,660995	0,722222	0,722222	13	0	
82	0,661856	0,722222	0,722222	13	0	
83	0,661762	0,722222	0,722222	13	0	
84	0,662281	0,722222	0,722222	13	0	
85	0,662434	0,722222	0,722222	13	0	
86	0,662947	0,722222	0,722222	13	0	
87	0,663630	0,722222	0,722222	13	0	
88	0,663914	0,722222	0,722222	13	0	
89	0,663799	0,722222	0,722222	13	0	
90	0,663907	0,722222	0,722222	13	0	
91	0,664543	0,722222	0,722222	13	0	
92	0,664893	0,722222	0,722222	13	0	
93	0,665013	0,722222	0,722222	13	0	
94	0,665580	0,722222	0,722222	13	0	
95	0,665769	0,722222	0,722222	13	0	
96	0,665939	0,722222	0,722222	13	0	
97	0,666874	0,722222	0,722222	13	0	
98	0,667319	0,722222	0,722222	13	0	
99	0,668163	0,722222	0,722222	13	0	
100	0,668310	0,722222	0,722222	13	0	
101	0,668913	0,722222	0,722222	13	0	
102	0,669411	0,722222	0,722222	13	0	
103	0,670060	0,722222	0,722222	13	0	
104	0,669747	0,722222	0,722222	13	0	
105	0,669899	0,722222	0,722222	13	0	
106	0,670295	0,722222	0,722222	13	0	
107	0,670981	0,722222	0,722222	13	0	
108	0,671454	0,722222	0,722222	13	0	
109	0,672149	0,722222	0,722222	13	0	
110	0,672577	0,722222	0,722222	13	0	
111	0,673429	0,722222	0,722222	13	0	
