Generation	Average Fitness	Best Fitness (this generation)	Best Fitness (all)	Neighbours	Intersections	
0	0,087647	0,280000	0,280000	7	1	
1	0,099072	0,280000	0,280000	7	1	
2	0,110644	0,307692	0,307692	8	1	
3	0,122250	0,333333	0,333333	6	0	
4	0,134073	0,333333	0,333333	6	0	
5	0,145949	0,333333	0,333333	9	1	
6	0,157941	0,388889	0,388889	7	0	
7	0,170048	0,388889	0,388889	7	0	
8	0,182413	0,444444	0,444444	8	0	
9	0,193761	0,444444	0,444444	8	0	
10	0,204933	0,500000	0,500000	9	0	
11	0,215030	0,500000	0,500000	9	0	
12	0,224199	0,500000	0,500000	9	0	
13	0,232774	0,500000	0,500000	9	0	
14	0,240178	0,500000	0,500000	9	0	
15	0,247044	0,500000	0,500000	9	0	
16	0,253419	0,555556	0,555556	10	0	
17	0,259742	0,555556	0,555556	10	0	
18	0,266633	0,555556	0,555556	10	0	
19	0,273813	0,555556	0,555556	10	0	
20	0,281908	0,555556	0,555556	10	0	
21	0,291402	0,555556	0,555556	10	0	
22	0,302234	0,555556	0,555556	10	0	
23	0,313961	0,555556	0,555556	10	0	
24	0,327554	0,555556	0,555556	10	0	
25	0,341758	0,555556	0,555556	10	0	
26	0,357244	0,611111	0,611111	11	0	
27	0,372556	0,611111	0,611111	11	0	
28	0,387464	0,611111	0,611111	11	0	
29	0,400831	0,611111	0,611111	11	0	
30	0,412840	0,611111	0,611111	11	0	
31	0,424515	0,611111	0,611111	11	0	
32	0,435536	0,611111	0,611111	11	0	
33	0,444143	0,611111	0,611111	11	0	
34	0,452578	0,611111	0,611111	11	0	
35	0,460418	0,611111	0,611111	11	0	
36	0,465990	0,611111	0,611111	11	0	
37	0,471368	0,611111	0,611111	11	0	
38	0,475753	0,611111	0,611111	11	0	
39	0,479517	0,611111	0,611111	11	0	
40	0,484095	0,611111	0,611111	11	0	
41	0,486793	0,611111	0,611111	11	0	
42	0,490668	0,611111	0,611111	11	0	
43	0,492982	0,611111	0,611111	11	0	
44	0,495556	0,611111	0,611111	11	0	
45	0,498474	0,611111	0,611111	11	0	
46	0,499717	0,611111	0,611111	11	0	
47	0,501964	0,611111	0,611111	11	0	
48	0,504470	0,611111	0,611111	11	0	
49	0,507052	0,611111	0,611111	11	0	
50	0,507971	0,611111	0,611111	11	0	
51	0,511026	0,611111	0,611111	11	0	
52	0,512555	0,611111	0,611111	11	0	
53	0,513574	0,611111	0,611111	11	0	
54	0,515746	0,611111	0,611111	11	0	
55	0,517404	0,611111	0,611111	11	0	
56	0,519043	0,611111	0,611111	11	0	
57	0,519711	0,611111	0,611111	11	0	
58	0,522053	0,611111	0,611111	11	0	
59	0,523253	0,611111	0,611111	11	0	
60	0,524910	0,611111	0,611111	11	0	
61	0,525773	0,611111	0,611111	11	0	
62	0,527218	0,611111	0,611111	11	0	
63	0,529273	0,611111	0,611111	11	0	
64	0,530382	0,611111	0,611111	11	0	
65	0,530921	0,611111	0,611111	11	0	
66	0,531657	0,611111	0,611111	11	0	
67	0,532244	0,611111	0,611111	11	0	
68	0,533626	0,611111	0,611111	11	0	
69	0,535407	0,611111	0,611111	11	0	
70	0,535623	0,611111	0,611111	11	0	
71	0,537308	0,611111	0,611111	11	0	
72	0,537996	0,611111	0,611111	11	0	
73	0,539135	0,611111	0,611111	11	0	
74	0,540109	0,611111	0,611111	11	0	
75	0,540545	0,611111	0,611111	11	0	
76	0,540848	0,611111	0,611111	11	0	
77	0,542119	0,611111	0,611111	11	0	
78	0,543270	0,611111	0,611111	11	0	
79	0,544232	0,611111	0,611111	11	0	
80	0,544791	0,611111	0,611111	11	0	
81	0,546094	0,611111	0,611111	11	0	
82	0,547355	0,611111	0,611111	11	0	
83	0,547532	0,611111	0,611111	11	0	
84	0,548749	0,611111	0,611111	11	0	
85	0,549927	0,611111	0,611111	11	0	
86	0,550465	0,611111	0,611111	11	0	
87	0,550799	0,611111	0,611111	11	0	
88	0,552964	0,611111	0,611111	11	0	
89	0,554058	0,611111	0,611111	11	0	
90	0,556070	0,611111	0,611111	11	0	
91	0,557071	0,611111	0,611111	11	0	
92	0,558482	0,611111	0,611111	11	0	
93	0,559821	0,611111	0,611111	11	0	
94	0,561405	0,611111	0,611111	11	0	
95	0,561739	0,611111	0,611111	11	0	
96	0,563615	0,611111	0,611111	11	0	
97	0,565405	0,611111	0,611111	11	0	
98	0,566958	0,611111	0,611111	11	0	
99	0,568221	0,611111	0,611111	11	0	
100	0,568993	0,611111	0,611111	11	0	
101	0,569946	0,611111	0,611111	11	0	
102	0,571418	0,611111	0,611111	11	0	
103	0,572957	0,611111	0,611111	11	0	
104	0,575174	0,611111	0,611111	11	0	
105	0,575999	0,611111	0,611111	11	0	
106	0,576542	0,611111	0,611111	11	0	
107	0,577705	0,611111	0,611111	11	0	
108	0,578657	0,611111	0,611111	11	0	
109	0,579780	0,611111	0,611111	11	0	
110	0,580875	0,611111	0,611111	11	0	
111	0,580551	0,611111	0,611111	11	0	
112	0,581790	0,611111	0,611111	11	0	
113	0,581831	0,611111	0,611111	11	0	
114	0,583016	0,611111	0,611111	11	0	
115	0,583970	0,611111	0,611111	11	0	
116	0,584555	0,611111	0,611111	11	0	
117	0,585888	0,611111	0,611111	11	0	
118	0,585341	0,611111	0,611111	11	0	
119	0,586442	0,611111	0,611111	11	0	
120	0,587649	0,611111	0,611111	11	0	
121	0,588020	0,611111	0,611111	11	0	
122	0,587860	0,611111	0,611111	11	0	
123	0,588717	0,611111	0,611111	11	0	
124	0,588943	0,611111	0,611111	11	0	
125	0,588869	0,611111	0,611111	11	0	
126	0,590083	0,611111	0,611111	11	0	
127	0,589805	0,611111	0,611111	11	0	
128	0,590654	0,611111	0,611111	11	0	
129	0,590801	0,611111	0,611111	11	0	
130	0,590372	0,611111	0,611111	11	0	
131	0,590070	0,611111	0,611111	11	0	
132	0,590325	0,611111	0,611111	11	0	
133	0,590663	0,611111	0,611111	11	0	
134	0,590600	0,611111	0,611111	11	0	
135	0,591005	0,611111	0,611111	11	0	
136	0,591122	0,611111	0,611111	11	0	
137	0,590836	0,611111	0,611111	11	0	
138	0,590658	0,611111	0,611111	11	0	
139	0,591289	0,611111	0,611111	11	0	
140	0,590709	0,611111	0,611111	11	0	
141	0,591141	0,611111	0,611111	11	0	
142	0,590344	0,611111	0,611111	11	0	
143	0,590924	0,611111	0,611111	11	0	
144	0,590847	0,611111	0,611111	11	0	
145	0,590911	0,611111	0,611111	11	0	
146	0,590503	0,611111	0,611111	11	0	
147	0,590138	0,611111	0,611111	11	0	
148	0,590293	0,611111	0,611111	11	0	
149	0,591010	0,611111	0,611111	11	0	
150	0,591044	0,611111	0,611111	11	0	
151	0,591602	0,611111	0,611111	11	0	
152	0,591060	0,611111	0,611111	11	0	
153	0,591177	0,611111	0,611111	11	0	
154	0,591919	0,611111	0,611111	11	0	
155	0,591292	0,611111	0,611111	11	0	
156	0,591547	0,611111	0,611111	11	0	
157	0,591771	0,611111	0,611111	11	0	
158	0,591882	0,611111	0,611111	11	0	
159	0,591316	0,611111	0,611111	11	0	
160	0,591490	0,611111	0,611111	11	0	
161	0,591043	0,611111	0,611111	11	0	
162	0,591439	0,611111	0,611111	11	0	
163	0,592092	0,611111	0,611111	11	0	
164	0,591894	0,611111	0,611111	11	0	
165	0,590753	0,611111	0,611111	11	0	
166	0,591758	0,611111	0,611111	11	0	
167	0,591865	0,611111	0,611111	11	0	
168	0,591606	0,611111	0,611111	11	0	
169	0,591650	0,611111	0,611111	11	0	
170	0,591020	0,611111	0,611111	11	0	
171	0,592085	0,611111	0,611111	11	0	
172	0,592180	0,611111	0,611111	11	0	
173	0,591224	0,611111	0,611111	11	0	
174	0,591410	0,611111	0,611111	11	0	
175	0,591671	0,611111	0,611111	11	0	
176	0,591368	0,611111	0,611111	11	0	
177	0,591930	0,611111	0,611111	11	0	
178	0,591530	0,611111	0,611111	11	0	
179	0,591617	0,611111	0,611111	11	0	
180	0,591359	0,611111	0,611111	11	0	
181	0,592398	0,611111	0,611111	11	0	
182	0,591911	0,611111	0,611111	11	0	
183	0,591939	0,611111	0,611111	11	0	
184	0,592114	0,611111	0,611111	11	0	
185	0,592342	0,611111	0,611111	11	0	
186	0,590940	0,611111	0,611111	11	0	
187	0,591239	0,611111	0,611111	11	0	
188	0,591217	0,611111	0,611111	11	0	
189	0,591466	0,611111	0,611111	11	0	
190	0,591323	0,611111	0,611111	11	0	
191	0,591528	0,611111	0,611111	11	0	
192	0,592107	0,611111	0,611111	11	0	
193	0,592207	0,611111	0,611111	11	0	
194	0,592515	0,611111	0,611111	11	0	
195	0,591506	0,611111	0,611111	11	0	
196	0,591355	0,611111	0,611111	11	0	
197	0,591230	0,611111	0,611111	11	0	
198	0,592159	0,611111	0,611111	11	0	
199	0,591450	0,611111	0,611111	11	0	
200	0,591869	0,611111	0,611111	11	0	
201	0,591430	0,611111	0,611111	11	0	
202	0,592435	0,611111	0,611111	11	0	
203	0,592399	0,611111	0,611111	11	0	
204	0,592336	0,611111	0,611111	11	0	
205	0,591593	0,611111	0,611111	11	0	
206	0,591662	0,611111	0,611111	11	0	
207	0,591902	0,611111	0,611111	11	0	
208	0,591458	0,611111	0,611111	11	0	
209	0,591310	0,611111	0,611111	11	0	
210	0,592234	0,611111	0,611111	11	0	
