Generation	Average Fitness	Best Fitness (this generation)	Best Fitness (all)	Neighbours	Intersections	
0	0,096864	0,200000	0,200000	6	2	
1	0,109572	0,200000	0,200000	6	2	
2	0,126668	0,200000	0,200000	6	2	
3	0,137073	0,200000	0,200000	6	2	
4	0,144422	0,200000	0,200000	6	2	
5	0,147107	0,200000	0,200000	6	2	
6	0,152275	0,200000	0,200000	6	2	
7	0,156933	0,218750	0,218750	7	2	
8	0,162536	0,218750	0,218750	7	2	
9	0,171917	0,218750	0,218750	7	2	
10	0,170299	0,217391	0,218750	5	1	
11	0,170159	0,217391	0,218750	5	1	
12	0,172125	0,217391	0,218750	5	1	
13	0,171106	0,217391	0,218750	5	1	
14	0,172736	0,222222	0,222222	4	0	
15	0,181204	0,222222	0,222222	4	0	
16	0,180679	0,235294	0,235294	8	2	
17	0,181536	0,222222	0,235294	4	0	
18	0,187158	0,222222	0,235294	4	0	
19	0,185960	0,222222	0,235294	4	0	
20	0,185962	0,250000	0,250000	6	1	
21	0,188195	0,250000	0,250000	6	1	
22	0,191390	0,250000	0,250000	6	1	
23	0,197144	0,250000	0,250000	6	1	
24	0,200070	0,250000	0,250000	6	1	
25	0,206385	0,280000	0,280000	7	1	
26	0,206907	0,280000	0,280000	7	1	
27	0,207838	0,250000	0,280000	6	1	
28	0,203951	0,250000	0,280000	6	1	
29	0,201458	0,280000	0,280000	7	1	
30	0,187698	0,250000	0,280000	6	1	
31	0,196014	0,250000	0,280000	6	1	
32	0,198836	0,250000	0,280000	6	1	
33	0,196542	0,250000	0,280000	6	1	
34	0,201693	0,250000	0,280000	6	1	
35	0,202624	0,250000	0,280000	6	1	
36	0,213773	0,250000	0,280000	6	1	
37	0,210006	0,250000	0,280000	6	1	
38	0,207393	0,250000	0,280000	6	1	
39	0,213053	0,250000	0,280000	6	1	
40	0,221334	0,250000	0,280000	6	1	
41	0,230438	0,280000	0,280000	7	1	
42	0,230148	0,280000	0,280000	7	1	
43	0,236378	0,250000	0,280000	6	1	
44	0,234645	0,280000	0,280000	7	1	
45	0,235855	0,280000	0,280000	7	1	
46	0,240546	0,280000	0,280000	7	1	
47	0,242180	0,280000	0,280000	7	1	
48	0,247702	0,280000	0,280000	7	1	
49	0,241743	0,280000	0,280000	7	1	
50	0,246454	0,280000	0,280000	7	1	
51	0,247666	0,280000	0,280000	7	1	
52	0,245011	0,280000	0,280000	7	1	
53	0,250216	0,280000	0,280000	7	1	
54	0,248370	0,280000	0,280000	7	1	
55	0,243310	0,280000	0,280000	7	1	
56	0,247010	0,280000	0,280000	7	1	
57	0,244151	0,280000	0,280000	7	1	
58	0,242133	0,280000	0,280000	7	1	
59	0,244577	0,280000	0,280000	7	1	
60	0,243356	0,280000	0,280000	7	1	
61	0,245361	0,280000	0,280000	7	1	
62	0,249050	0,280000	0,280000	7	1	
63	0,243820	0,280000	0,280000	7	1	
64	0,251718	0,280000	0,280000	7	1	
65	0,248044	0,280000	0,280000	7	1	
66	0,249416	0,280000	0,280000	7	1	
67	0,253264	0,280000	0,280000	7	1	
68	0,251584	0,280000	0,280000	7	1	
69	0,254803	0,280000	0,280000	7	1	
70	0,255525	0,280000	0,280000	7	1	
71	0,259656	0,280000	0,280000	7	1	
72	0,255162	0,280000	0,280000	7	1	
73	0,257753	0,280000	0,280000	7	1	
74	0,261291	0,280000	0,280000	7	1	
75	0,259704	0,280000	0,280000	7	1	
76	0,261392	0,280000	0,280000	7	1	
77	0,262001	0,280000	0,280000	7	1	
78	0,263355	0,280000	0,280000	7	1	
79	0,260336	0,280000	0,280000	7	1	
80	0,260912	0,280000	0,280000	7	1	
81	0,264200	0,280000	0,280000	7	1	
82	0,257267	0,333333	0,333333	6	0	
83	0,258582	0,280000	0,333333	7	1	
84	0,260805	0,280000	0,333333	7	1	
85	0,270400	0,280000	0,333333	7	1	
86	0,267265	0,280000	0,333333	7	1	
87	0,269585	0,280000	0,333333	7	1	
88	0,271253	0,280000	0,333333	7	1	
89	0,274997	0,280000	0,333333	7	1	
90	0,272535	0,280000	0,333333	7	1	
91	0,274466	0,280000	0,333333	7	1	
92	0,276037	0,280000	0,333333	7	1	
93	0,275366	0,280000	0,333333	7	1	
94	0,278460	0,280000	0,333333	7	1	
95	0,276609	0,280000	0,333333	7	1	
96	0,277364	0,280000	0,333333	7	1	
97	0,274351	0,280000	0,333333	7	1	
98	0,275340	0,280000	0,333333	7	1	
99	0,276973	0,280000	0,333333	7	1	
