Generation	Average Fitness	Best Fitness (this generation)	Best Fitness (all)	Neighbours	Intersections	
0	0,076376	0,388889	0,388889	7	0	
1	0,090854	0,388889	0,388889	7	0	
2	0,107353	0,388889	0,388889	7	0	
3	0,125587	0,388889	0,388889	7	0	
4	0,145993	0,388889	0,388889	7	0	
5	0,169552	0,388889	0,388889	7	0	
6	0,195460	0,611111	0,611111	11	0	
7	0,225960	0,611111	0,611111	11	0	
8	0,255638	0,611111	0,611111	11	0	
9	0,283943	0,611111	0,611111	11	0	
10	0,307899	0,611111	0,611111	11	0	
11	0,326396	0,611111	0,611111	11	0	
12	0,340477	0,611111	0,611111	11	0	
13	0,351048	0,611111	0,611111	11	0	
14	0,359207	0,611111	0,611111	11	0	
15	0,365856	0,611111	0,611111	11	0	
16	0,370903	0,611111	0,611111	11	0	
17	0,375467	0,611111	0,611111	11	0	
18	0,379919	0,611111	0,611111	11	0	
19	0,384261	0,611111	0,611111	11	0	
20	0,389068	0,666667	0,666667	12	0	
21	0,395067	0,611111	0,666667	11	0	
22	0,402582	0,611111	0,666667	11	0	
23	0,412736	0,611111	0,666667	11	0	
24	0,424770	0,611111	0,666667	11	0	
25	0,439931	0,666667	0,666667	12	0	
26	0,456915	0,666667	0,666667	12	0	
27	0,477449	0,666667	0,666667	12	0	
28	0,498522	0,666667	0,666667	12	0	
29	0,519131	0,666667	0,666667	12	0	
30	0,537844	0,666667	0,666667	12	0	
31	0,554154	0,666667	0,666667	12	0	
32	0,567542	0,722222	0,722222	13	0	
33	0,578103	0,722222	0,722222	13	0	
34	0,585544	0,722222	0,722222	13	0	
35	0,591246	0,722222	0,722222	13	0	
36	0,595103	0,777778	0,777778	14	0	
37	0,597885	0,777778	0,777778	14	0	
38	0,600366	0,777778	0,777778	14	0	
39	0,601763	0,777778	0,777778	14	0	
40	0,603419	0,777778	0,777778	14	0	
41	0,604229	0,777778	0,777778	14	0	
42	0,604728	0,777778	0,777778	14	0	
43	0,605479	0,777778	0,777778	14	0	
44	0,606148	0,777778	0,777778	14	0	
45	0,606670	0,777778	0,777778	14	0	
46	0,606956	0,777778	0,777778	14	0	
47	0,607419	0,777778	0,777778	14	0	
48	0,607727	0,777778	0,777778	14	0	
49	0,607883	0,777778	0,777778	14	0	
50	0,608113	0,777778	0,777778	14	0	
51	0,608233	0,777778	0,777778	14	0	
52	0,608374	0,777778	0,777778	14	0	
53	0,608575	0,777778	0,777778	14	0	
54	0,608672	0,777778	0,777778	14	0	
55	0,608683	0,777778	0,777778	14	0	
56	0,608909	0,777778	0,777778	14	0	
57	0,609123	0,777778	0,777778	14	0	
58	0,609437	0,777778	0,777778	14	0	
59	0,609937	0,777778	0,777778	14	0	
60	0,610245	0,777778	0,777778	14	0	
61	0,610528	0,777778	0,777778	14	0	
62	0,610473	0,777778	0,777778	14	0	
63	0,611043	0,777778	0,777778	14	0	
64	0,611691	0,777778	0,777778	14	0	
65	0,612427	0,777778	0,777778	14	0	
66	0,613743	0,777778	0,777778	14	0	
67	0,614801	0,777778	0,777778	14	0	
68	0,616669	0,777778	0,777778	14	0	
69	0,618372	0,777778	0,777778	14	0	
70	0,620593	0,777778	0,777778	14	0	
71	0,623279	0,777778	0,777778	14	0	
72	0,627021	0,777778	0,777778	14	0	
73	0,630734	0,777778	0,777778	14	0	
74	0,635865	0,777778	0,777778	14	0	
75	0,641078	0,777778	0,777778	14	0	
76	0,647354	0,777778	0,777778	14	0	
77	0,654878	0,777778	0,777778	14	0	
78	0,662753	0,777778	0,777778	14	0	
79	0,671252	0,777778	0,777778	14	0	
80	0,680250	0,777778	0,777778	14	0	
81	0,689916	0,777778	0,777778	14	0	
82	0,699894	0,777778	0,777778	14	0	
83	0,708483	0,777778	0,777778	14	0	
84	0,717718	0,777778	0,777778	14	0	
85	0,726119	0,777778	0,777778	14	0	
86	0,733842	0,777778	0,777778	14	0	
87	0,741236	0,777778	0,777778	14	0	
88	0,746835	0,777778	0,777778	14	0	
89	0,751642	0,777778	0,777778	14	0	
90	0,755863	0,777778	0,777778	14	0	
91	0,759087	0,777778	0,777778	14	0	
92	0,761641	0,777778	0,777778	14	0	
93	0,764322	0,777778	0,777778	14	0	
94	0,766548	0,777778	0,777778	14	0	
95	0,768121	0,777778	0,777778	14	0	
96	0,769624	0,777778	0,777778	14	0	
97	0,770778	0,777778	0,777778	14	0	
98	0,772014	0,777778	0,777778	14	0	
99	0,772259	0,777778	0,777778	14	0	
100	0,772682	0,777778	0,777778	14	0	
101	0,773116	0,777778	0,777778	14	0	
102	0,773655	0,777778	0,777778	14	0	
103	0,773592	0,777778	0,777778	14	0	
104	0,774005	0,777778	0,777778	14	0	
105	0,774102	0,777778	0,777778	14	0	
106	0,774418	0,777778	0,777778	14	0	
107	0,774527	0,777778	0,777778	14	0	
108	0,774746	0,777778	0,777778	14	0	
109	0,774782	0,777778	0,777778	14	0	
110	0,774684	0,777778	0,777778	14	0	
111	0,774526	0,777778	0,777778	14	0	
112	0,774562	0,777778	0,777778	14	0	
113	0,774591	0,777778	0,777778	14	0	
114	0,774699	0,777778	0,777778	14	0	
115	0,774927	0,777778	0,777778	14	0	
116	0,774963	0,777778	0,777778	14	0	
117	0,775072	0,777778	0,777778	14	0	
118	0,775121	0,777778	0,777778	14	0	
119	0,774915	0,777778	0,777778	14	0	
120	0,775034	0,777778	0,777778	14	0	
121	0,774900	0,777778	0,777778	14	0	
122	0,775125	0,777778	0,777778	14	0	
123	0,775039	0,777778	0,777778	14	0	
124	0,774966	0,777778	0,777778	14	0	
125	0,774999	0,777778	0,777778	14	0	
126	0,775214	0,777778	0,777778	14	0	
127	0,775119	0,777778	0,777778	14	0	
128	0,775149	0,777778	0,777778	14	0	
129	0,775505	0,777778	0,777778	14	0	
130	0,775171	0,777778	0,777778	14	0	
131	0,775303	0,777778	0,777778	14	0	
132	0,775193	0,777778	0,777778	14	0	
133	0,775070	0,777778	0,777778	14	0	
134	0,775285	0,777778	0,777778	14	0	
135	0,775468	0,777778	0,777778	14	0	
136	0,775287	0,777778	0,777778	14	0	
137	0,775427	0,777778	0,777778	14	0	
138	0,775554	0,777778	0,777778	14	0	
139	0,775209	0,777778	0,777778	14	0	
140	0,775281	0,777778	0,777778	14	0	
141	0,775264	0,777778	0,777778	14	0	
142	0,775044	0,777778	0,777778	14	0	
143	0,774978	0,777778	0,777778	14	0	
144	0,775010	0,777778	0,777778	14	0	
145	0,775100	0,777778	0,777778	14	0	
146	0,775196	0,777778	0,777778	14	0	
147	0,775272	0,777778	0,777778	14	0	
148	0,775011	0,777778	0,777778	14	0	
149	0,775202	0,777778	0,777778	14	0	
150	0,775172	0,777778	0,777778	14	0	
151	0,775134	0,777778	0,777778	14	0	
152	0,775333	0,777778	0,777778	14	0	
153	0,775304	0,777778	0,777778	14	0	
154	0,775166	0,777778	0,777778	14	0	
155	0,775156	0,777778	0,777778	14	0	
156	0,775162	0,777778	0,777778	14	0	
157	0,774984	0,777778	0,777778	14	0	
158	0,775177	0,777778	0,777778	14	0	
159	0,775318	0,777778	0,777778	14	0	
160	0,775291	0,777778	0,777778	14	0	
161	0,775007	0,777778	0,777778	14	0	
162	0,775136	0,777778	0,777778	14	0	
163	0,775236	0,777778	0,777778	14	0	
164	0,775241	0,777778	0,777778	14	0	
165	0,775370	0,777778	0,777778	14	0	
166	0,775224	0,777778	0,777778	14	0	
167	0,775243	0,777778	0,777778	14	0	
168	0,775117	0,777778	0,777778	14	0	
169	0,775248	0,777778	0,777778	14	0	
170	0,775060	0,777778	0,777778	14	0	
171	0,775151	0,777778	0,777778	14	0	
172	0,775130	0,777778	0,777778	14	0	
173	0,775263	0,777778	0,777778	14	0	
174	0,775401	0,777778	0,777778	14	0	
175	0,775416	0,777778	0,777778	14	0	
176	0,775257	0,777778	0,777778	14	0	
177	0,775237	0,777778	0,777778	14	0	
178	0,775239	0,777778	0,777778	14	0	
179	0,775383	0,777778	0,777778	14	0	
180	0,775283	0,777778	0,777778	14	0	
181	0,775432	0,777778	0,777778	14	0	
182	0,775376	0,777778	0,777778	14	0	
183	0,775347	0,777778	0,777778	14	0	
184	0,774959	0,777778	0,777778	14	0	
185	0,775218	0,777778	0,777778	14	0	
186	0,775474	0,777778	0,777778	14	0	
187	0,775366	0,777778	0,777778	14	0	
188	0,775288	0,777778	0,777778	14	0	
189	0,775348	0,777778	0,777778	14	0	
190	0,775043	0,777778	0,777778	14	0	
191	0,775254	0,777778	0,777778	14	0	
192	0,774995	0,777778	0,777778	14	0	
193	0,775171	0,777778	0,777778	14	0	
194	0,775240	0,777778	0,777778	14	0	
195	0,775067	0,777778	0,777778	14	0	
196	0,775300	0,777778	0,777778	14	0	
197	0,775264	0,777778	0,777778	14	0	
198	0,775067	0,777778	0,777778	14	0	
199	0,775045	0,777778	0,777778	14	0	
200	0,775414	0,777778	0,777778	14	0	
201	0,775441	0,777778	0,777778	14	0	
202	0,775309	0,777778	0,777778	14	0	
203	0,775278	0,777778	0,777778	14	0	
204	0,775393	0,777778	0,777778	14	0	
205	0,775185	0,777778	0,777778	14	0	
206	0,775032	0,777778	0,777778	14	0	
207	0,775334	0,777778	0,777778	14	0	
208	0,775043	0,777778	0,777778	14	0	
209	0,775165	0,777778	0,777778	14	0	
210	0,775258	0,777778	0,777778	14	0	
211	0,775082	0,777778	0,777778	14	0	
212	0,774993	0,777778	0,777778	14	0	
213	0,775040	0,777778	0,777778	14	0	
214	0,775101	0,777778	0,777778	14	0	
215	0,775250	0,777778	0,777778	14	0	
216	0,775054	0,777778	0,777778	14	0	
217	0,775170	0,777778	0,777778	14	0	
218	0,775001	0,777778	0,777778	14	0	
219	0,775156	0,777778	0,777778	14	0	
220	0,775030	0,777778	0,777778	14	0	
221	0,775000	0,777778	0,777778	14	0	
222	0,775229	0,777778	0,777778	14	0	
223	0,775027	0,777778	0,777778	14	0	
224	0,775169	0,777778	0,777778	14	0	
225	0,775250	0,777778	0,777778	14	0	
226	0,775307	0,777778	0,777778	14	0	
227	0,774989	0,777778	0,777778	14	0	
228	0,775089	0,777778	0,777778	14	0	
229	0,775390	0,777778	0,777778	14	0	
230	0,775414	0,777778	0,777778	14	0	
231	0,775146	0,777778	0,777778	14	0	
232	0,775230	0,777778	0,777778	14	0	
233	0,775487	0,777778	0,777778	14	0	
234	0,775230	0,777778	0,777778	14	0	
235	0,775056	0,777778	0,777778	14	0	
236	0,775148	0,777778	0,777778	14	0	
237	0,775245	0,777778	0,777778	14	0	
238	0,775156	0,777778	0,777778	14	0	
239	0,775058	0,777778	0,777778	14	0	
240	0,775325	0,777778	0,777778	14	0	
241	0,775335	0,777778	0,777778	14	0	
242	0,775262	0,777778	0,777778	14	0	
243	0,774846	0,777778	0,777778	14	0	
244	0,775027	0,777778	0,777778	14	0	
245	0,775382	0,777778	0,777778	14	0	
246	0,775207	0,777778	0,777778	14	0	
247	0,775251	0,777778	0,777778	14	0	
248	0,775148	0,777778	0,777778	14	0	
249	0,775481	0,777778	0,777778	14	0	
250	0,775444	0,777778	0,777778	14	0	
251	0,775315	0,777778	0,777778	14	0	
252	0,775171	0,777778	0,777778	14	0	
253	0,775103	0,777778	0,777778	14	0	
254	0,774878	0,777778	0,777778	14	0	
255	0,774859	0,777778	0,777778	14	0	
256	0,774849	0,777778	0,777778	14	0	
257	0,775084	0,777778	0,777778	14	0	
258	0,775053	0,777778	0,777778	14	0	
259	0,775046	0,777778	0,777778	14	0	
260	0,775192	0,777778	0,777778	14	0	
261	0,775440	0,777778	0,777778	14	0	
262	0,775231	0,777778	0,777778	14	0	
263	0,775236	0,777778	0,777778	14	0	
264	0,775272	0,777778	0,777778	14	0	
265	0,775294	0,777778	0,777778	14	0	
266	0,775382	0,777778	0,777778	14	0	
267	0,775215	0,777778	0,777778	14	0	
268	0,775312	0,777778	0,777778	14	0	
269	0,775094	0,777778	0,777778	14	0	
270	0,775135	0,777778	0,777778	14	0	
271	0,775221	0,777778	0,777778	14	0	
272	0,775192	0,777778	0,777778	14	0	
273	0,775256	0,777778	0,777778	14	0	
274	0,775422	0,777778	0,777778	14	0	
275	0,775080	0,777778	0,777778	14	0	
276	0,775158	0,777778	0,777778	14	0	
277	0,775184	0,777778	0,777778	14	0	
278	0,774809	0,777778	0,777778	14	0	
279	0,774952	0,777778	0,777778	14	0	
280	0,775195	0,777778	0,777778	14	0	
281	0,775079	0,777778	0,777778	14	0	
282	0,775008	0,777778	0,777778	14	0	
283	0,775237	0,777778	0,777778	14	0	
284	0,775468	0,777778	0,777778	14	0	
285	0,775184	0,777778	0,777778	14	0	
286	0,775141	0,777778	0,777778	14	0	
287	0,775039	0,777778	0,777778	14	0	
288	0,775013	0,777778	0,777778	14	0	
289	0,775470	0,777778	0,777778	14	0	
290	0,775271	0,777778	0,777778	14	0	
291	0,775208	0,777778	0,777778	14	0	
292	0,774963	0,777778	0,777778	14	0	
293	0,775162	0,777778	0,777778	14	0	
294	0,775302	0,777778	0,777778	14	0	
295	0,775043	0,777778	0,777778	14	0	
296	0,775080	0,777778	0,777778	14	0	
297	0,774740	0,777778	0,777778	14	0	
298	0,774901	0,777778	0,777778	14	0	
299	0,775040	0,777778	0,777778	14	0	
300	0,775278	0,777778	0,777778	14	0	
301	0,775004	0,777778	0,777778	14	0	
302	0,775063	0,777778	0,777778	14	0	
303	0,775212	0,777778	0,777778	14	0	
304	0,775403	0,777778	0,777778	14	0	
305	0,775293	0,777778	0,777778	14	0	
306	0,775387	0,777778	0,777778	14	0	
307	0,775143	0,777778	0,777778	14	0	
308	0,775007	0,777778	0,777778	14	0	
309	0,775398	0,777778	0,777778	14	0	
310	0,775384	0,777778	0,777778	14	0	
311	0,775251	0,777778	0,777778	14	0	
312	0,775354	0,777778	0,777778	14	0	
313	0,775135	0,777778	0,777778	14	0	
314	0,775256	0,777778	0,777778	14	0	
315	0,775313	0,777778	0,777778	14	0	
316	0,775142	0,777778	0,777778	14	0	
317	0,775062	0,777778	0,777778	14	0	
318	0,775099	0,777778	0,777778	14	0	
319	0,775009	0,777778	0,777778	14	0	
320	0,774985	0,777778	0,777778	14	0	
321	0,775300	0,777778	0,777778	14	0	
322	0,775563	0,777778	0,777778	14	0	
323	0,775436	0,777778	0,777778	14	0	
324	0,775442	0,777778	0,777778	14	0	
325	0,775335	0,777778	0,777778	14	0	
326	0,775107	0,777778	0,777778	14	0	
327	0,775038	0,777778	0,777778	14	0	
328	0,775063	0,777778	0,777778	14	0	
329	0,775123	0,777778	0,777778	14	0	
330	0,775152	0,777778	0,777778	14	0	
331	0,775167	0,777778	0,777778	14	0	
332	0,775419	0,777778	0,777778	14	0	
333	0,775387	0,777778	0,777778	14	0	
334	0,775316	0,777778	0,777778	14	0	
335	0,775395	0,777778	0,777778	14	0	
336	0,775517	0,777778	0,777778	14	0	
337	0,775348	0,777778	0,777778	14	0	
338	0,775041	0,777778	0,777778	14	0	
339	0,775292	0,777778	0,777778	14	0	
340	0,775152	0,777778	0,777778	14	0	
341	0,775481	0,777778	0,777778	14	0	
