Generation	Average Fitness	Best Fitness (this generation)	Best Fitness (all)	Neighbours	Intersections	
0	0,068066	0,222222	0,222222	4	0	
1	0,075169	0,222222	0,222222	4	0	
2	0,083251	0,222222	0,222222	4	0	
3	0,091579	0,222222	0,222222	4	0	
4	0,100469	0,222222	0,222222	4	0	
5	0,109968	0,222222	0,222222	4	0	
6	0,119699	0,222222	0,222222	4	0	
7	0,130531	0,277778	0,277778	5	0	
8	0,141572	0,250000	0,277778	6	1	
9	0,153043	0,250000	0,277778	6	1	
10	0,164284	0,277778	0,277778	5	0	
11	0,174035	0,277778	0,277778	5	0	
12	0,182733	0,277778	0,277778	5	0	
13	0,190205	0,280000	0,280000	7	1	
14	0,196321	0,280000	0,280000	7	1	
15	0,201057	0,280000	0,280000	7	1	
16	0,204727	0,280000	0,280000	7	1	
17	0,207500	0,280000	0,280000	7	1	
18	0,209845	0,280000	0,280000	7	1	
19	0,211521	0,280000	0,280000	7	1	
20	0,212911	0,280000	0,280000	7	1	
21	0,214121	0,280000	0,280000	7	1	
22	0,215164	0,280000	0,280000	7	1	
23	0,216039	0,280000	0,280000	7	1	
24	0,216720	0,280000	0,280000	7	1	
25	0,217473	0,280000	0,280000	7	1	
26	0,218090	0,280000	0,280000	7	1	
27	0,218862	0,280000	0,280000	7	1	
28	0,219548	0,280000	0,280000	7	1	
29	0,220328	0,280000	0,280000	7	1	
30	0,221357	0,280000	0,280000	7	1	
31	0,222293	0,280000	0,280000	7	1	
32	0,223514	0,280000	0,280000	7	1	
33	0,224962	0,280000	0,280000	7	1	
34	0,226816	0,280000	0,280000	7	1	
35	0,228756	0,280000	0,280000	7	1	
36	0,231108	0,333333	0,333333	6	0	
37	0,233635	0,333333	0,333333	6	0	
38	0,236399	0,333333	0,333333	6	0	
39	0,239467	0,333333	0,333333	6	0	
40	0,242683	0,333333	0,333333	6	0	
41	0,245832	0,333333	0,333333	6	0	
42	0,249108	0,333333	0,333333	6	0	
43	0,252155	0,333333	0,333333	6	0	
44	0,255352	0,333333	0,333333	6	0	
45	0,258126	0,333333	0,333333	6	0	
46	0,260857	0,333333	0,333333	6	0	
47	0,263408	0,333333	0,333333	6	0	
48	0,265555	0,333333	0,333333	6	0	
49	0,267406	0,333333	0,333333	6	0	
50	0,268953	0,333333	0,333333	6	0	
51	0,270286	0,333333	0,333333	6	0	
52	0,271164	0,333333	0,333333	6	0	
53	0,272138	0,333333	0,333333	6	0	
54	0,272941	0,333333	0,333333	6	0	
55	0,273476	0,333333	0,333333	6	0	
56	0,274165	0,333333	0,333333	6	0	
57	0,274478	0,333333	0,333333	6	0	
58	0,274949	0,333333	0,333333	6	0	
59	0,275130	0,333333	0,333333	6	0	
60	0,275509	0,333333	0,333333	6	0	
61	0,275865	0,333333	0,333333	6	0	
62	0,276137	0,333333	0,333333	6	0	
63	0,276495	0,333333	0,333333	6	0	
64	0,276815	0,333333	0,333333	6	0	
65	0,277104	0,333333	0,333333	6	0	
66	0,277350	0,333333	0,333333	6	0	
67	0,277877	0,333333	0,333333	6	0	
68	0,278424	0,333333	0,333333	6	0	
69	0,278944	0,333333	0,333333	6	0	
70	0,279695	0,333333	0,333333	6	0	
71	0,280334	0,333333	0,333333	6	0	
72	0,281133	0,333333	0,333333	6	0	
73	0,281875	0,333333	0,333333	6	0	
74	0,283094	0,333333	0,333333	6	0	
75	0,284463	0,333333	0,333333	6	0	
76	0,285872	0,333333	0,333333	6	0	
77	0,287179	0,333333	0,333333	6	0	
78	0,288903	0,333333	0,333333	6	0	
79	0,290750	0,333333	0,333333	6	0	
80	0,292572	0,333333	0,333333	6	0	
81	0,294721	0,333333	0,333333	6	0	
82	0,297022	0,333333	0,333333	6	0	
83	0,299298	0,333333	0,333333	6	0	
84	0,301792	0,333333	0,333333	6	0	
85	0,304143	0,333333	0,333333	6	0	
86	0,306612	0,333333	0,333333	6	0	
87	0,309012	0,333333	0,333333	6	0	
88	0,311234	0,333333	0,333333	6	0	
89	0,313370	0,333333	0,333333	6	0	
90	0,315491	0,333333	0,333333	6	0	
