Generation	Average Fitness	Best Fitness (this generation)	Best Fitness (all)	Neighbours	Intersections	
0	0,095250	0,200000	0,200000	6	2	
1	0,107594	0,200000	0,200000	6	2	
2	0,117865	0,200000	0,200000	6	2	
3	0,124666	0,217391	0,217391	5	1	
4	0,131907	0,235294	0,235294	8	2	
5	0,137856	0,235294	0,235294	8	2	
6	0,144288	0,235294	0,235294	8	2	
7	0,149042	0,235294	0,235294	8	2	
8	0,153556	0,250000	0,250000	6	1	
9	0,157871	0,277778	0,277778	5	0	
10	0,162527	0,277778	0,277778	5	0	
11	0,166884	0,277778	0,277778	5	0	
12	0,172438	0,277778	0,277778	5	0	
13	0,175886	0,333333	0,333333	6	0	
14	0,177867	0,333333	0,333333	6	0	
15	0,181322	0,333333	0,333333	6	0	
16	0,188021	0,333333	0,333333	6	0	
17	0,193741	0,333333	0,333333	6	0	
18	0,197861	0,333333	0,333333	6	0	
19	0,202746	0,333333	0,333333	6	0	
20	0,207696	0,333333	0,333333	6	0	
21	0,210444	0,333333	0,333333	6	0	
22	0,215303	0,333333	0,333333	6	0	
23	0,221786	0,333333	0,333333	6	0	
24	0,228221	0,333333	0,333333	6	0	
25	0,233826	0,388889	0,388889	7	0	
26	0,239754	0,388889	0,388889	7	0	
27	0,246195	0,388889	0,388889	7	0	
28	0,253836	0,388889	0,388889	7	0	
29	0,259753	0,388889	0,388889	7	0	
30	0,266760	0,388889	0,388889	7	0	
31	0,268971	0,388889	0,388889	7	0	
32	0,277510	0,388889	0,388889	7	0	
33	0,279521	0,388889	0,388889	7	0	
34	0,289225	0,388889	0,388889	7	0	
35	0,290819	0,388889	0,388889	7	0	
36	0,291578	0,388889	0,388889	7	0	
37	0,294414	0,388889	0,388889	7	0	
38	0,300096	0,388889	0,388889	7	0	
39	0,305600	0,388889	0,388889	7	0	
40	0,305880	0,388889	0,388889	7	0	
41	0,309314	0,388889	0,388889	7	0	
42	0,309620	0,388889	0,388889	7	0	
43	0,310049	0,388889	0,388889	7	0	
44	0,306366	0,388889	0,388889	7	0	
45	0,308226	0,388889	0,388889	7	0	
46	0,310915	0,388889	0,388889	7	0	
47	0,315497	0,388889	0,388889	7	0	
48	0,318408	0,388889	0,388889	7	0	
49	0,319885	0,388889	0,388889	7	0	
50	0,319764	0,388889	0,388889	7	0	
51	0,322505	0,388889	0,388889	7	0	
52	0,329267	0,388889	0,388889	7	0	
53	0,331915	0,388889	0,388889	7	0	
54	0,330382	0,388889	0,388889	7	0	
55	0,336162	0,388889	0,388889	7	0	
56	0,335798	0,388889	0,388889	7	0	
57	0,337273	0,388889	0,388889	7	0	
58	0,338119	0,388889	0,388889	7	0	
59	0,339097	0,388889	0,388889	7	0	
60	0,343354	0,388889	0,388889	7	0	
61	0,349684	0,388889	0,388889	7	0	
62	0,353515	0,388889	0,388889	7	0	
63	0,357117	0,388889	0,388889	7	0	
64	0,357971	0,388889	0,388889	7	0	
65	0,360103	0,388889	0,388889	7	0	
66	0,363015	0,388889	0,388889	7	0	
67	0,364923	0,388889	0,388889	7	0	
68	0,366468	0,388889	0,388889	7	0	
69	0,369050	0,388889	0,388889	7	0	
70	0,372530	0,388889	0,388889	7	0	
71	0,371459	0,388889	0,388889	7	0	
72	0,372813	0,388889	0,388889	7	0	
73	0,373645	0,388889	0,388889	7	0	
74	0,371840	0,388889	0,388889	7	0	
75	0,373611	0,388889	0,388889	7	0	
76	0,373916	0,388889	0,388889	7	0	
77	0,374873	0,388889	0,388889	7	0	
78	0,374104	0,388889	0,388889	7	0	
79	0,376446	0,388889	0,388889	7	0	
80	0,375179	0,388889	0,388889	7	0	
81	0,376816	0,388889	0,388889	7	0	
82	0,374216	0,388889	0,388889	7	0	
83	0,371378	0,388889	0,388889	7	0	
84	0,371945	0,388889	0,388889	7	0	
85	0,374875	0,388889	0,388889	7	0	
86	0,375874	0,388889	0,388889	7	0	
87	0,374169	0,388889	0,388889	7	0	
88	0,375201	0,388889	0,388889	7	0	
89	0,377141	0,388889	0,388889	7	0	
90	0,376087	0,388889	0,388889	7	0	
91	0,373930	0,388889	0,388889	7	0	
92	0,372881	0,388889	0,388889	7	0	
93	0,375339	0,388889	0,388889	7	0	
94	0,373101	0,388889	0,388889	7	0	
95	0,374934	0,388889	0,388889	7	0	
96	0,378222	0,388889	0,388889	7	0	
97	0,379225	0,388889	0,388889	7	0	
98	0,376381	0,388889	0,388889	7	0	
99	0,375893	0,388889	0,388889	7	0	
