Generation	Average Fitness	Best Fitness (this generation)	Best Fitness (all)	Neighbours	Intersections	
0	0,097477	0,280000	0,280000	7	1	
1	0,110756	0,280000	0,280000	7	1	
2	0,121849	0,280000	0,280000	7	1	
3	0,131722	0,388889	0,388889	7	0	
4	0,140410	0,388889	0,388889	7	0	
5	0,148765	0,388889	0,388889	7	0	
6	0,158181	0,388889	0,388889	7	0	
7	0,167547	0,444444	0,444444	8	0	
8	0,178464	0,444444	0,444444	8	0	
9	0,189570	0,444444	0,444444	8	0	
10	0,203739	0,444444	0,444444	8	0	
11	0,216987	0,444444	0,444444	8	0	
12	0,233266	0,444444	0,444444	8	0	
13	0,250766	0,444444	0,444444	8	0	
14	0,269169	0,500000	0,500000	9	0	
15	0,288710	0,500000	0,500000	9	0	
16	0,306797	0,500000	0,500000	9	0	
17	0,322963	0,500000	0,500000	9	0	
18	0,336779	0,500000	0,500000	9	0	
19	0,349843	0,500000	0,500000	9	0	
20	0,358899	0,500000	0,500000	9	0	
21	0,369810	0,500000	0,500000	9	0	
22	0,376051	0,500000	0,500000	9	0	
23	0,380866	0,500000	0,500000	9	0	
24	0,385745	0,500000	0,500000	9	0	
25	0,389160	0,500000	0,500000	9	0	
26	0,392721	0,500000	0,500000	9	0	
27	0,396381	0,500000	0,500000	9	0	
28	0,400760	0,500000	0,500000	9	0	
29	0,403979	0,500000	0,500000	9	0	
30	0,408116	0,500000	0,500000	9	0	
31	0,412440	0,500000	0,500000	9	0	
32	0,415934	0,500000	0,500000	9	0	
33	0,418499	0,500000	0,500000	9	0	
34	0,422981	0,500000	0,500000	9	0	
35	0,425368	0,500000	0,500000	9	0	
36	0,429641	0,500000	0,500000	9	0	
37	0,434422	0,500000	0,500000	9	0	
38	0,437296	0,500000	0,500000	9	0	
39	0,440332	0,500000	0,500000	9	0	
40	0,444851	0,500000	0,500000	9	0	
41	0,448641	0,500000	0,500000	9	0	
42	0,450310	0,500000	0,500000	9	0	
43	0,452902	0,500000	0,500000	9	0	
44	0,454740	0,500000	0,500000	9	0	
45	0,457411	0,500000	0,500000	9	0	
46	0,460492	0,500000	0,500000	9	0	
47	0,462301	0,500000	0,500000	9	0	
48	0,464685	0,500000	0,500000	9	0	
49	0,467008	0,500000	0,500000	9	0	
50	0,468673	0,500000	0,500000	9	0	
51	0,470456	0,500000	0,500000	9	0	
52	0,472106	0,500000	0,500000	9	0	
53	0,473932	0,500000	0,500000	9	0	
54	0,474421	0,500000	0,500000	9	0	
55	0,475561	0,500000	0,500000	9	0	
56	0,476923	0,500000	0,500000	9	0	
57	0,477132	0,500000	0,500000	9	0	
58	0,477727	0,500000	0,500000	9	0	
59	0,478981	0,500000	0,500000	9	0	
60	0,477838	0,500000	0,500000	9	0	
61	0,478770	0,500000	0,500000	9	0	
62	0,479842	0,500000	0,500000	9	0	
63	0,479799	0,500000	0,500000	9	0	
64	0,479942	0,500000	0,500000	9	0	
65	0,481037	0,500000	0,500000	9	0	
66	0,480084	0,500000	0,500000	9	0	
67	0,480686	0,500000	0,500000	9	0	
68	0,481569	0,500000	0,500000	9	0	
69	0,481413	0,500000	0,500000	9	0	
70	0,482540	0,500000	0,500000	9	0	
71	0,483006	0,500000	0,500000	9	0	
72	0,483466	0,500000	0,500000	9	0	
73	0,482825	0,500000	0,500000	9	0	
74	0,482718	0,500000	0,500000	9	0	
75	0,483683	0,500000	0,500000	9	0	
76	0,483835	0,500000	0,500000	9	0	
77	0,483913	0,500000	0,500000	9	0	
78	0,483316	0,500000	0,500000	9	0	
79	0,483607	0,500000	0,500000	9	0	
80	0,482734	0,500000	0,500000	9	0	
81	0,483351	0,500000	0,500000	9	0	
82	0,484458	0,500000	0,500000	9	0	
83	0,484349	0,500000	0,500000	9	0	
84	0,483353	0,500000	0,500000	9	0	
85	0,484803	0,500000	0,500000	9	0	
86	0,483938	0,500000	0,500000	9	0	
87	0,483908	0,500000	0,500000	9	0	
88	0,484514	0,500000	0,500000	9	0	
89	0,484342	0,500000	0,500000	9	0	
90	0,484440	0,500000	0,500000	9	0	
91	0,483870	0,500000	0,500000	9	0	
92	0,484333	0,500000	0,500000	9	0	
93	0,485056	0,500000	0,500000	9	0	
94	0,483360	0,500000	0,500000	9	0	
95	0,484104	0,500000	0,500000	9	0	
96	0,482516	0,500000	0,500000	9	0	
97	0,482536	0,500000	0,500000	9	0	
98	0,482713	0,500000	0,500000	9	0	
99	0,483919	0,500000	0,500000	9	0	
