Generation	Average Fitness	Best Fitness (this generation)	Best Fitness (all)	Neighbours	Intersections	
0	0,082414	0,388889	0,388889	7	0	
1	0,099330	0,388889	0,388889	7	0	
2	0,117792	0,388889	0,388889	7	0	
3	0,138699	0,444444	0,444444	8	0	
4	0,162521	0,500000	0,500000	9	0	
5	0,189392	0,500000	0,500000	9	0	
6	0,218792	0,500000	0,500000	9	0	
7	0,249268	0,500000	0,500000	9	0	
8	0,278013	0,500000	0,500000	9	0	
9	0,302196	0,555556	0,555556	10	0	
10	0,323410	0,555556	0,555556	10	0	
11	0,339576	0,555556	0,555556	10	0	
12	0,351448	0,611111	0,611111	11	0	
13	0,360973	0,611111	0,611111	11	0	
14	0,368590	0,611111	0,611111	11	0	
15	0,374623	0,666667	0,666667	12	0	
16	0,380056	0,611111	0,666667	11	0	
17	0,384814	0,666667	0,666667	12	0	
18	0,389498	0,666667	0,666667	12	0	
19	0,394121	0,611111	0,666667	11	0	
20	0,399010	0,611111	0,666667	11	0	
21	0,404537	0,722222	0,722222	13	0	
22	0,410838	0,611111	0,722222	11	0	
23	0,417443	0,666667	0,722222	12	0	
24	0,425257	0,666667	0,722222	12	0	
25	0,433695	0,666667	0,722222	12	0	
26	0,442120	0,666667	0,722222	12	0	
27	0,451160	0,722222	0,722222	13	0	
28	0,459753	0,722222	0,722222	13	0	
29	0,468100	0,722222	0,722222	13	0	
30	0,476057	0,722222	0,722222	13	0	
31	0,482929	0,722222	0,722222	13	0	
32	0,490202	0,722222	0,722222	13	0	
33	0,496588	0,722222	0,722222	13	0	
34	0,502782	0,722222	0,722222	13	0	
35	0,507991	0,722222	0,722222	13	0	
36	0,513283	0,777778	0,777778	14	0	
37	0,518332	0,777778	0,777778	14	0	
38	0,523153	0,777778	0,777778	14	0	
39	0,527568	0,777778	0,777778	14	0	
40	0,532464	0,777778	0,777778	14	0	
41	0,536959	0,777778	0,777778	14	0	
42	0,542441	0,777778	0,777778	14	0	
43	0,548430	0,777778	0,777778	14	0	
44	0,554019	0,777778	0,777778	14	0	
45	0,560402	0,777778	0,777778	14	0	
46	0,567482	0,777778	0,777778	14	0	
47	0,574689	0,777778	0,777778	14	0	
48	0,581748	0,777778	0,777778	14	0	
49	0,589391	0,777778	0,777778	14	0	
50	0,598241	0,777778	0,777778	14	0	
51	0,607143	0,833333	0,833333	15	0	
52	0,616033	0,833333	0,833333	15	0	
53	0,625288	0,833333	0,833333	15	0	
54	0,634263	0,888889	0,888889	16	0	
55	0,642633	0,888889	0,888889	16	0	
56	0,650962	0,888889	0,888889	16	0	
57	0,658747	0,888889	0,888889	16	0	
58	0,665775	0,888889	0,888889	16	0	
59	0,671633	0,888889	0,888889	16	0	
60	0,677490	0,888889	0,888889	16	0	
61	0,683429	0,888889	0,888889	16	0	
62	0,689105	0,888889	0,888889	16	0	
63	0,693062	0,888889	0,888889	16	0	
64	0,697460	0,888889	0,888889	16	0	
65	0,701102	0,888889	0,888889	16	0	
66	0,704561	0,888889	0,888889	16	0	
67	0,706997	0,888889	0,888889	16	0	
68	0,710089	0,888889	0,888889	16	0	
69	0,712507	0,888889	0,888889	16	0	
70	0,714657	0,888889	0,888889	16	0	
71	0,716774	0,888889	0,888889	16	0	
72	0,718828	0,888889	0,888889	16	0	
73	0,720774	0,888889	0,888889	16	0	
74	0,722497	0,888889	0,888889	16	0	
75	0,724593	0,888889	0,888889	16	0	
76	0,726844	0,888889	0,888889	16	0	
77	0,728833	0,888889	0,888889	16	0	
78	0,730832	0,888889	0,888889	16	0	
79	0,732545	0,888889	0,888889	16	0	
80	0,734735	0,888889	0,888889	16	0	
81	0,737154	0,888889	0,888889	16	0	
82	0,739410	0,888889	0,888889	16	0	
83	0,741651	0,888889	0,888889	16	0	
84	0,744726	0,888889	0,888889	16	0	
85	0,747261	0,888889	0,888889	16	0	
